budget,genres,keywords,original_language,popularity,production_companies,release_date,runtime,title,vote_average,vote_count,castgrade,directorGrade,writerGrade,class
237000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']",en,150.437577,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']",10/12/2009,162.0,Avatar,7.2,11800,2.0,2.0,2.0,4.0
300000000,"['Adventure', 'Fantasy', 'Action']","['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",en,139.082615,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",19/05/2007,169.0,Pirates of the Caribbean: At World's End,6.9,4500,2.0,1.0,1.0,4.0
245000000,"['Action', 'Adventure', 'Crime']","['spy', 'based on novel', 'secret agent', 'sequel', 'mi6', 'british secret service', 'united kingdom']",en,107.37678799999999,"['Columbia Pictures', 'Danjaq', 'B24']",26/10/2015,148.0,Spectre,6.3,4466,2.0,2.0,1.0,4.0
250000000,"['Action', 'Crime', 'Drama', 'Thriller']","['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage drama', 'time bomb', 'gotham city', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragic hero', 'terrorism', 'destruction', 'catwoman', 'cat burglar', 'imax', 'flood', 'criminal underworld', 'batman']",en,112.31295,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",16/07/2012,165.0,The Dark Knight Rises,7.6,9106,2.0,2.0,1.0,4.0
260000000,"['Action', 'Adventure', 'Science Fiction']","['based on novel', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgar rice burroughs', 'alien race', 'superhuman strength', 'mars civilization', 'sword and planet', '19th century', '3d']",en,43.926995,['Walt Disney Pictures'],07/03/2012,132.0,John Carter,6.1,2124,2.0,2.0,1.0,1.0
258000000,"['Fantasy', 'Action', 'Adventure']","['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand', 'narcism', 'hostility', 'marvel comic', 'sequel', 'superhero', 'revenge']",en,115.69981399999999,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",01/05/2007,139.0,Spider-Man 3,5.9,3576,0.0,2.0,1.0,4.0
260000000,"['Animation', 'Family']","['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'princess', 'animation', 'tower', 'blonde woman', 'selfishness', 'healing power', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick']",en,48.681969,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",24/11/2010,100.0,Tangled,7.4,3330,2.0,2.0,1.0,3.0
280000000,"['Action', 'Adventure', 'Science Fiction']","['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",en,134.27922900000002,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",22/04/2015,141.0,Avengers: Age of Ultron,7.3,6767,2.0,2.0,2.0,4.0
250000000,"['Adventure', 'Fantasy', 'Family']","['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']",en,98.885637,"['Warner Bros.', 'Heyday Films']",07/07/2009,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,2.0,2.0,1.0,4.0
250000000,"['Action', 'Adventure', 'Fantasy']","['dc comics', 'vigilante', 'superhero', 'based on comic book', 'revenge', 'super powers', 'clark kent', 'bruce wayne', 'dc extended universe']",en,155.790452,"['DC Comics', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment', 'Cruel & Unusual Films', 'RatPac-Dune Entertainment']",23/03/2016,151.0,Batman v Superman: Dawn of Justice,5.7,7004,0.0,2.0,1.0,4.0
270000000,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']","['saving the world', 'dc comics', 'invulnerability', 'sequel', 'superhero', 'based on comic book', 'kryptonite', 'super powers', 'superhuman strength', 'lex luthor']",en,57.925623,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'Bad Hat Harry Productions']",28/06/2006,154.0,Superman Returns,5.4,1400,0.0,2.0,1.0,2.0
200000000,"['Adventure', 'Action', 'Thriller', 'Crime']","['killing', 'undercover', 'secret agent', 'british secret service']",en,107.92881100000001,['Eon Productions'],30/10/2008,106.0,Quantum of Solace,6.1,2965,2.0,2.0,1.0,3.0
200000000,"['Adventure', 'Fantasy', 'Action']","['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",en,145.84737900000005,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",20/06/2006,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,2.0,1.0,1.0,4.0
255000000,"['Action', 'Adventure', 'Western']","['texas', 'horse', 'survivor', 'texas ranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'lone ranger', 'comanche', 'the lone ranger', 'tonto']",en,49.046956,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Silver Bullet Productions (II)', 'Blind Wink Productions', 'Classic Media']",03/07/2013,149.0,The Lone Ranger,5.9,2311,0.0,1.0,1.0,0.0
225000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['saving the world', 'dc comics', 'superhero', 'based on comic book', 'superhuman', 'alien invasion', 'reboot', 'super powers', 'dc extended universe']",en,99.398009,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Cruel and Unusual Films']",12/06/2013,143.0,Man of Steel,6.5,6359,2.0,2.0,1.0,3.0
